"","Strike","Bid","Ask","Price","ImpliedVol"
"SPY210521P00345000",345,0,0.01,0.005,1.12501403808594
"SPY210521P00346000",346,0,0.01,0.005,1.10917663574219
"SPY210521P00347000",347,0,0.01,0.005,1.09273010253906
"SPY210521P00348000",348,0,0.01,0.005,1.07628356933594
"SPY210521P00349000",349,0,0.01,0.005,1.06044616699219
"SPY210521P00350000",350,0,0.01,0.005,1.04399963378906
"SPY210521P00351000",351,0,0.01,0.005,1.02816223144531
"SPY210521P00352000",352,0,0.01,0.005,1.01171569824219
"SPY210521P00353000",353,0,0,0,0.01
"SPY210521P00354000",354,0,0.01,0.005,0.979431762695313
"SPY210521P00355000",355,0,0.01,0.005,0.963594360351563
"SPY210521P00356000",356,0,0.01,0.005,0.947756958007812
"SPY210521P00357000",357,0,0.01,0.005,0.931919555664062
"SPY210521P00358000",358,0,0.01,0.005,0.915473022460937
"SPY210521P00359000",359,0,0.01,0.005,0.899635620117187
"SPY210521P00360000",360,0,0.01,0.005,0.883798217773437
"SPY210521P00361000",361,0,0.01,0.005,0.867960815429687
"SPY210521P00362000",362,0,0.01,0.005,0.852123413085938
"SPY210521P00363000",363,0,0.01,0.005,0.836286010742187
"SPY210521P00364000",364,0,0.01,0.005,0.820448608398437
"SPY210521P00365000",365,0,0.01,0.005,0.804611206054687
"SPY210521P00366000",366,0,0.01,0.005,0.789382934570312
"SPY210521P00367000",367,0,0.01,0.005,0.773545532226562
"SPY210521P00368000",368,0,0,0,0.01
"SPY210521P00369000",369,0,0.01,0.005,0.741870727539062
"SPY210521P00370000",370,0,0.01,0.005,0.726642456054687
"SPY210521P00371000",371,0,0.01,0.005,0.710805053710937
"SPY210521P00372000",372,0,0.01,0.005,0.694967651367187
"SPY210521P00373000",373,0,0.01,0.005,0.679739379882812
"SPY210521P00374000",374,0,0.01,0.005,0.663901977539062
"SPY210521P00375000",375,0,0.01,0.005,0.648064575195312
"SPY210521P00376000",376,0,0.01,0.005,0.632836303710937
"SPY210521P00377000",377,0,0.01,0.005,0.616998901367187
"SPY210521P00378000",378,0,0.01,0.005,0.601770629882812
"SPY210521P00379000",379,0,0.01,0.005,0.585933227539062
"SPY210521P00380000",380,0,0.01,0.005,0.570704956054687
"SPY210521P00381000",381,0,0.01,0.005,0.555476684570312
"SPY210521P00382000",382,0,0.01,0.005,0.539639282226562
"SPY210521P00383000",383,0,0.01,0.005,0.524411010742187
"SPY210521P00384000",384,0.01,0.02,0.015,0.565831909179687
"SPY210521P00385000",385,0.01,0.02,0.015,0.548776245117187
"SPY210521P00386000",386,0.01,0.02,0.015,0.531720581054687
"SPY210521P00387000",387,0.01,0.02,0.015,0.514664916992187
"SPY210521P00388000",388,0.01,0.02,0.015,0.498218383789062
"SPY210521P00389000",389,0.01,0.02,0.015,0.481162719726562
"SPY210521P00390000",390,0.01,0.02,0.015,0.464107055664062
"SPY210521P00391000",391,0.01,0.02,0.015,0.447051391601562
"SPY210521P00392000",392,0.01,0.02,0.015,0.429995727539062
"SPY210521P00393000",393,0.01,0.02,0.015,0.412940063476562
"SPY210521P00394000",394,0.01,0.02,0.015,0.396493530273437
"SPY210521P00395000",395,0.02,0.03,0.025,0.402584838867187
"SPY210521P00396000",396,0.02,0.03,0.025,0.384920043945312
"SPY210521P00397000",397,0.02,0.03,0.025,0.366646118164062
"SPY210521P00398000",398,0.02,0.03,0.025,0.348981323242187
"SPY210521P00399000",399,0.02,0.03,0.025,0.330707397460937
"SPY210521P00400000",400,0.03,0.04,0.035,0.327052612304687
"SPY210521P00401000",401,0.03,0.04,0.035,0.308169555664062
"SPY210521P00402000",402,0.03,0.04,0.035,0.289286499023438
"SPY210521P00403000",403,0.04,0.05,0.045,0.280149536132812
"SPY210521P00404000",404,0.04,0.05,0.045,0.260657348632813
"SPY210521P00405000",405,0.05,0.06,0.055,0.248474731445313
"SPY210521P00406000",406,0.06,0.07,0.065,0.234464721679687
"SPY210521P00407000",407,0.08,0.09,0.085,0.224109497070312
"SPY210521P00408000",408,0.11,0.12,0.115,0.214972534179687
"SPY210521P00409000",409,0.15,0.16,0.155,0.205226440429687
"SPY210521P00410000",410,0.22,0.23,0.225,0.198526000976562
"SPY210521P00411000",411,0.31,0.32,0.315,0.189998168945313
"SPY210521P00412000",412,0.44,0.45,0.445,0.181470336914063
"SPY210521P00413000",413,0.64,0.65,0.645,0.175988159179687
"SPY210521P00414000",414,0.92,0.93,0.925,0.170505981445312
"SPY210521P00415000",415,1.31,1.33,1.32,0.168069458007812
"SPY210521P00416000",416,1.83,1.88,1.855,0.169287719726562
"SPY210521P00417000",417,2.48,2.56,2.52,0.173551635742187
"SPY210521P00418000",418,3.25,3.34,3.295,0.181470336914063
"SPY210521P00419000",419,4.09,4.2,4.145,0.191216430664063
"SPY210521P00420000",420,5,5.12,5.06,0.205835571289062
"SPY210521P00421000",421,5.95,6.08,6.015,0.224109497070312
"SPY210521P00422000",422,6.93,7.05,6.99,0.244819946289063
"SPY210521P00423000",423,7.88,8.03,7.955,0.261266479492188
"SPY210521P00424000",424,8.87,9.02,8.945,0.282586059570312
"SPY210521P00425000",425,9.89,10.01,9.95,0.308169555664062
"SPY210521P00426000",426,10.77,11.01,10.89,0.310606079101562
"SPY210521P00427000",427,11.75,12.11,11.93,0.347763061523438
"SPY210521P00428000",428,12.75,13.11,12.93,0.370300903320313
"SPY210521P00429000",429,13.75,14.11,13.93,0.392838745117187
"SPY210521P00430000",430,14.75,15.11,14.93,0.414767456054687
"SPY210521P00431000",431,15.75,16.11,15.93,0.436087036132813
"SPY210521P00432000",432,16.75,17.11,16.93,0.458015747070312
"SPY210521P00433000",433,17.74,18.11,17.925,0.476898803710938
"SPY210521P00434000",434,18.74,19.11,18.925,0.497609252929687
"SPY210521P00435000",435,19.74,20.11,19.925,0.518319702148437
"SPY210521P00436000",436,20.74,21.11,20.925,0.539030151367187
"SPY210521P00437000",437,21.74,22.11,21.925,0.559131469726562
"SPY210521P00438000",438,22.74,23.11,22.925,0.579232788085937
"SPY210521P00439000",439,23.74,24.11,23.925,0.599334106445312
"SPY210521P00440000",440,24.74,25.11,24.925,0.619435424804687
"SPY210521P00441000",441,25.74,26.11,25.925,0.638927612304687
"SPY210521P00442000",442,26.74,27.11,26.925,0.658419799804687
"SPY210521P00443000",443,27.74,28.11,27.925,0.677911987304687
"SPY210521P00444000",444,28.74,29.11,28.925,0.696795043945312
"SPY210521P00445000",445,29.74,30.11,29.925,0.716287231445312
"SPY210521P00446000",446,30.74,31.11,30.925,0.735170288085938
"SPY210521P00447000",447,31.74,32.11,31.925,0.754053344726562
"SPY210521P00448000",448,32.74,33.11,32.925,0.772936401367187
"SPY210521P00449000",449,33.74,34.11,33.925,0.791210327148437
"SPY210521P00450000",450,34.74,35.11,34.925,0.810093383789062
"SPY210521P00451000",451,35.74,36.11,35.925,0.828367309570312
"SPY210521P00452000",452,36.74,37.11,36.925,0.846641235351563
"SPY210521P00453000",453,37.74,38.11,37.925,0.864915161132812
"SPY210521P00454000",454,38.74,39.11,38.925,0.883189086914062
"SPY210521P00455000",455,39.74,40.11,39.925,0.900853881835937
"SPY210521P00457000",457,41.74,42.11,41.925,0.936792602539062
"SPY210521P00458000",458,42.74,43.11,42.925,0.954457397460937
"SPY210521P00460000",460,44.74,45.11,44.925,0.989786987304687
"SPY210521P00461000",461,45.74,46.11,45.925,1.00745178222656
"SPY210521P00462000",462,46.74,47.11,46.925,1.02450744628906
"SPY210521P00465000",465,49.74,50.11,49.925,1.07628356933594
"SPY210521P00470000",470,54.74,55.11,54.925,1.16034362792969
"SPY210521P00475000",475,59.74,60.11,59.925,1.24318542480469
"SPY210521P00480000",480,0,0,0,NA
"SPY210521P00485000",485,69.76,70.11,69.935,1.41313293457031
"SPY210521P00490000",490,72.86,73.09,72.975,NA
"SPY210521P00495000",495,101.66,102.56,102.11,NA
"SPY210521P00500000",500,84.76,85.11,84.935,1.64399353027344
"SPY210521P00510000",510,94.75,95.11,94.93,1.78531188964844
"SPY210521P00520000",520,104.76,105.11,104.935,1.93393981933594
